1.4375000000e-01 7.4604360968e-01 1.1136681079e-02
1.4687500000e-01 7.4492082342e-01 1.1125826795e-02
1.5000000000e-01 7.4377889792e-01 1.1114799255e-02
1.5312500000e-01 7.4261792245e-01 1.1103598693e-02
1.5625000000e-01 7.4143803983e-01 1.1092225344e-02
1.5937500000e-01 7.4023944786e-01 1.1080679477e-02
1.6250000000e-01 7.3902239144e-01 1.1068961320e-02
1.6562500000e-01 7.3778716715e-01 1.1057071150e-02
1.6875000000e-01 7.3653411459e-01 1.1045009231e-02
1.7187500000e-01 7.3526361199e-01 1.1032775814e-02
1.7500000000e-01 7.3397607539e-01 1.1020371181e-02
1.7812500000e-01 7.3267195004e-01 1.1007795613e-02
1.8125000000e-01 7.3135170427e-01 1.0995049382e-02
1.8437500000e-01 7.3001582546e-01 1.0982132775e-02
1.8750000000e-01 7.2866481132e-01 1.0969046064e-02
1.9062500000e-01 7.2729916536e-01 1.0955789534e-02
1.9375000000e-01 7.2591939255e-01 1.0942363496e-02
1.9687500000e-01 7.2452598905e-01 1.0928768241e-02
2.0000000000e-01 7.2311943889e-01 1.0915004068e-02
2.0312500000e-01 7.2170021010e-01 1.0901071299e-02
2.0625000000e-01 7.2026874440e-01 1.0886970222e-02
2.0937500000e-01 7.1882545976e-01 1.0872701164e-02
2.1250000000e-01 7.1737074262e-01 1.0858264454e-02
2.1562500000e-01 7.1590494484e-01 1.0843660413e-02
2.1875000000e-01 7.1442837998e-01 1.0828889349e-02
2.2187500000e-01 7.1294132409e-01 1.0813951589e-02
2.2500000000e-01 7.1144401533e-01 1.0798847478e-02
2.2812500000e-01 7.0993665106e-01 1.0783577364e-02
2.3125000000e-01 7.0841938660e-01 1.0768141575e-02
2.3437500000e-01 7.0689233884e-01 1.0752540459e-02
2.3750000000e-01 7.0535558577e-01 1.0736774361e-02
2.4062500000e-01 7.0380917021e-01 1.0720843649e-02
2.4375000000e-01 7.0225309772e-01 1.0704748666e-02
2.4687500000e-01 7.0068734367e-01 1.0688489781e-02
2.5000000000e-01 6.9911185335e-01 1.0672067362e-02
2.5312500000e-01 6.9752654457e-01 1.0655481767e-02
2.5625000000e-01 6.9593131224e-01 1.0638733367e-02
2.5937500000e-01 6.9432603247e-01 1.0621822549e-02
2.6250000000e-01 6.9271056399e-01 1.0604749693e-02
2.6562500000e-01 6.9108475222e-01 1.0587515189e-02
2.6875000000e-01 6.8944843114e-01 1.0570119413e-02
2.7187500000e-01 6.8780142983e-01 1.0552562767e-02
2.7500000000e-01 6.8614357421e-01 1.0534845664e-02
2.7812500000e-01 6.8447468643e-01 1.0516968485e-02
2.8125000000e-01 6.8279459161e-01 1.0498931631e-02
2.8437500000e-01 6.8110312064e-01 1.0480735518e-02
2.8750000000e-01 6.7940011060e-01 1.0462380557e-02
2.9062500000e-01 6.7768540811e-01 1.0443867165e-02
2.9375000000e-01 6.7595886960e-01 1.0425195751e-02
2.9687500000e-01 6.7422036623e-01 1.0406366745e-02
3.0000000000e-01 6.7246978398e-01 1.0387380584e-02
3.0312500000e-01 6.7070702319e-01 1.0368237686e-02
3.0625000000e-01 6.6893200319e-01 1.0348938495e-02
3.0937500000e-01 6.6714466095e-01 1.0329483442e-02
3.1250000000e-01 6.6534495358e-01 1.0309872971e-02
3.1562500000e-01 6.6353285925e-01 1.0290107534e-02
3.1875000000e-01 6.6170837667e-01 1.0270187580e-02
3.2187500000e-01 6.5987152668e-01 1.0250113560e-02
3.2500000000e-01 6.5802235259e-01 1.0229885927e-02
3.2812500000e-01 6.5616092138e-01 1.0209505146e-02
3.3125000000e-01 6.5428732347e-01 1.0188971690e-02
3.3437500000e-01 6.5240167224e-01 1.0168286023e-02
3.3750000000e-01 6.5050410495e-01 1.0147448620e-02
3.4062500000e-01 6.4859478097e-01 1.0126459941e-02
3.4375000000e-01 6.4667388559e-01 1.0105320483e-02
3.4687500000e-01 6.4474162561e-01 1.0084030726e-02
3.5000000000e-01 6.4279822961e-01 1.0062591151e-02
3.5312500000e-01 6.4084394691e-01 1.0041002229e-02
3.5625000000e-01 6.3887905132e-01 1.0019264487e-02
3.5937500000e-01 6.3690383139e-01 9.9973783967e-03
3.6250000000e-01 6.3491859726e-01 9.9753444762e-03
3.6562500000e-01 6.3292367345e-01 9.9531632257e-03
3.6875000000e-01 6.3091939895e-01 9.9308351459e-03
3.7187500000e-01 6.2890612654e-01 9.9083607595e-03
3.7500000000e-01 6.2688421769e-01 9.8857405706e-03
3.7812500000e-01 6.2485404321e-01 9.8629751045e-03
3.8125000000e-01 6.2281597887e-01 9.8400648850e-03
3.8437500000e-01 6.2077040313e-01 9.8170104348e-03
3.8750000000e-01 6.1871769494e-01 9.7938122849e-03
3.9062500000e-01 6.1665823124e-01 9.7704709766e-03
3.9375000000e-01 6.1459238244e-01 9.7469870350e-03
3.9687500000e-01 6.1252051172e-01 9.7233609969e-03
4.0000000000e-01 6.1044297357e-01 9.6995934197e-03
4.0312500000e-01 6.0836010696e-01 9.6756848304e-03
4.0625000000e-01 6.0627223817e-01 9.6516357857e-03
4.0937500000e-01 6.0417967642e-01 9.6274468409e-03
4.1250000000e-01 6.0208271199e-01 9.6031185463e-03
4.1562500000e-01 5.9998161657e-01 9.5786514710e-03
4.1875000000e-01 5.9787663990e-01 9.5540461705e-03
4.2187500000e-01 5.9576801176e-01 9.5293032218e-03
4.2500000000e-01 5.9365593953e-01 9.5044231958e-03
4.2812500000e-01 5.9154060816e-01 9.4794066540e-03
4.3125000000e-01 5.8942218294e-01 9.4542541802e-03
4.3437500000e-01 5.8730080855e-01 9.4289663581e-03
4.3750000000e-01 5.8517661029e-01 9.4035437667e-03
4.4062500000e-01 5.8304969642e-01 9.3779870006e-03
4.4375000000e-01 5.8092015839e-01 9.3522966419e-03
4.4687500000e-01 5.7878807510e-01 9.3264732927e-03
4.5000000000e-01 5.7665351310e-01 9.3005175505e-03
4.5312500000e-01 5.7451652963e-01 9.2744300185e-03
4.5625000000e-01 5.7237717399e-01 9.2482112880e-03
4.5937500000e-01 5.7023549194e-01 9.2218619696e-03
4.6250000000e-01 5.6809152655e-01 9.1953826702e-03
4.6562500000e-01 5.6594532112e-01 9.1687740056e-03
4.6875000000e-01 5.6379692038e-01 9.1420365880e-03
4.7187500000e-01 5.6164637337e-01 9.1151710371e-03
4.7500000000e-01 5.5949373384e-01 9.0881779691e-03
4.7812500000e-01 5.5733906360e-01 9.0610580229e-03
4.8125000000e-01 5.5518243057e-01 9.0338118196e-03
4.8437500000e-01 5.5302391116e-01 9.0064399914e-03
4.8750000000e-01 5.5086359120e-01 8.9789431906e-03
4.9062500000e-01 5.4870156165e-01 8.9513220312e-03
4.9375000000e-01 5.4653792378e-01 8.9235771739e-03
4.9687500000e-01 5.4437278358e-01 8.8957092613e-03
5.0000000000e-01 5.4220625199e-01 8.8677189393e-03
5.0312500000e-01 5.4003844290e-01 8.8396068533e-03
5.0625000000e-01 5.3786947224e-01 8.8113736624e-03
5.0937500000e-01 5.3569945384e-01 8.7830200138e-03
5.1250000000e-01 5.3352849991e-01 8.7545465805e-03
5.1562500000e-01 5.3135671610e-01 8.7259540284e-03
5.1875000000e-01 5.2918419874e-01 8.6972430095e-03
5.2187500000e-01 5.2701103450e-01 8.6684141934e-03
5.2500000000e-01 5.2483729814e-01 8.6394682698e-03
5.2812500000e-01 5.2266304769e-01 8.6104059061e-03
5.3125000000e-01 5.2048832398e-01 8.5812277705e-03
5.3437500000e-01 5.1831314964e-01 8.5519345401e-03
5.3750000000e-01 5.1613752839e-01 8.5225269128e-03
5.4062500000e-01 5.1396144232e-01 8.4930055697e-03
5.4375000000e-01 5.1178485346e-01 8.4633712091e-03
5.4687500000e-01 5.0960770094e-01 8.4336245035e-03
5.5000000000e-01 5.0742990801e-01 8.4037661888e-03
5.5312500000e-01 5.0525137467e-01 8.3737969423e-03
5.5625000000e-01 5.0307198622e-01 8.3437174823e-03
5.5937500000e-01 5.0089161168e-01 8.3135285093e-03
5.6250000000e-01 4.9871010712e-01 8.2832307250e-03
5.6562500000e-01 4.9652732040e-01 8.2528248479e-03
5.6875000000e-01 4.9434309196e-01 8.2223115785e-03
5.7187500000e-01 4.9215726104e-01 8.1916916346e-03
5.7500000000e-01 4.8996966994e-01 8.1609657549e-03
5.7812500000e-01 4.8778016544e-01 8.1301346584e-03
5.8125000000e-01 4.8558860424e-01 8.0991990586e-03
5.8437500000e-01 4.8339485888e-01 8.0681596900e-03
5.8750000000e-01 4.8119882124e-01 8.0370172964e-03
5.9062500000e-01 4.7900040430e-01 8.0057725923e-03
5.9375000000e-01 4.7679954984e-01 7.9744263212e-03
5.9687500000e-01 4.7459622963e-01 7.9429792205e-03
6.0000000000e-01 4.7239045000e-01 7.9114320418e-03
6.0312500000e-01 4.7018225276e-01 7.8797855151e-03
6.0625000000e-01 4.6797172081e-01 7.8480404061e-03
6.0937500000e-01 4.6575897702e-01 7.8161974616e-03
6.1250000000e-01 4.6354418753e-01 7.7842574494e-03
6.1562500000e-01 4.6132755989e-01 7.7522211104e-03
6.1875000000e-01 4.5910934622e-01 7.7200892110e-03
6.2187500000e-01 4.5688984158e-01 7.6878625189e-03
6.2500000000e-01 4.5466938222e-01 7.6555417950e-03
6.2812500000e-01 4.5244834498e-01 7.6231278072e-03
6.3125000000e-01 4.5022714490e-01 7.5906213244e-03
6.3437500000e-01 4.4800623279e-01 7.5580231246e-03
6.3750000000e-01 4.4578609280e-01 7.5253339935e-03
6.4062500000e-01 4.4356723632e-01 7.4925546940e-03
6.4375000000e-01 4.4135020174e-01 7.4596860138e-03
6.4687500000e-01 4.3913554867e-01 7.4267287412e-03
6.5000000000e-01 4.3692385245e-01 7.3936836435e-03
6.5312500000e-01 4.3471570337e-01 7.3605515262e-03
6.5625000000e-01 4.3251169874e-01 7.3273331807e-03
6.5937500000e-01 4.3031243964e-01 7.2940293999e-03
6.6250000000e-01 4.2811852682e-01 7.2606409883e-03
6.6562500000e-01 4.2593055549e-01 7.2271687497e-03
6.6875000000e-01 4.2374911131e-01 7.1936134923e-03
6.7187500000e-01 4.2157476539e-01 7.1599760150e-03
6.7500000000e-01 4.1940807124e-01 7.1262571207e-03
6.7812500000e-01 4.1724956206e-01 7.0924576395e-03
6.8125000000e-01 4.1509974362e-01 7.0585783628e-03
6.8437500000e-01 4.1295909539e-01 7.0246201213e-03
6.8750000000e-01 4.1082806525e-01 6.9905837479e-03
6.9062500000e-01 4.0870706630e-01 6.9564700643e-03
6.9375000000e-01 4.0659647458e-01 6.9222798885e-03
6.9687500000e-01 4.0449662830e-01 6.8880140597e-03
7.0000000000e-01 4.0240782412e-01 6.8536734051e-03
7.0312500000e-01 4.0033031617e-01 6.8192587549e-03
7.0625000000e-01 3.9826431488e-01 6.7847709459e-03
7.0937500000e-01 3.9620998474e-01 6.7502108051e-03
7.1250000000e-01 3.9416744569e-01 6.7155791876e-03
7.1562500000e-01 3.9213676952e-01 6.6808769307e-03
7.1875000000e-01 3.9011798109e-01 6.6461048821e-03
7.2187500000e-01 3.8811105837e-01 6.6112639109e-03
7.2500000000e-01 3.8611593011e-01 6.5763548637e-03
7.2812500000e-01 3.8413247828e-01 6.5413786060e-03
7.3125000000e-01 3.8216053633e-01 6.5063359829e-03
7.3437500000e-01 3.8019989171e-01 6.4712278573e-03
7.3750000000e-01 3.7825028695e-01 6.4360551080e-03
7.4062500000e-01 3.7631141820e-01 6.4008185805e-03
7.4375000000e-01 3.7438294069e-01 6.3655191601e-03
7.4687500000e-01 3.7246446763e-01 6.3301577172e-03
7.5000000000e-01 3.7055557418e-01 6.2947351374e-03
7.5312500000e-01 3.6865579943e-01 6.2592523043e-03
7.5625000000e-01 3.6676464930e-01 6.2237101021e-03
7.5937500000e-01 3.6488160055e-01 6.1881094206e-03
7.6250000000e-01 3.6300610419e-01 6.1524511440e-03
7.6562500000e-01 3.6113758989e-01 6.1167361552e-03
7.6875000000e-01 3.5927547143e-01 6.0809653470e-03
7.7187500000e-01 3.5741915201e-01 6.0451396202e-03
7.7500000000e-01 3.5556802970e-01 6.0092598809e-03
7.7812500000e-01 3.5372150300e-01 5.9733270372e-03
7.8125000000e-01 3.5187897660e-01 5.9373419820e-03
7.8437500000e-01 3.5003986999e-01 5.9013056459e-03
7.8750000000e-01 3.4820362199e-01 5.8652189458e-03
7.9062500000e-01 3.4636969804e-01 5.8290827965e-03
7.9375000000e-01 3.4453759706e-01 5.7928981126e-03
7.9687500000e-01 3.4270685856e-01 5.7566658208e-03
8.0000000000e-01 3.4087706921e-01 5.7203868578e-03
8.0312500000e-01 3.3904786764e-01 5.6840621419e-03
8.0625000000e-01 3.3721895264e-01 5.6476926247e-03
8.0937500000e-01 3.3539008635e-01 5.6112792428e-03
8.1250000000e-01 3.3356109979e-01 5.5748229387e-03
8.1562500000e-01 3.3173189717e-01 5.5383246687e-03
8.1875000000e-01 3.2990245808e-01 5.5017853796e-03
8.2187500000e-01 3.2807284065e-01 5.4652060265e-03
8.2500000000e-01 3.2624318287e-01 5.4285875755e-03
8.2812500000e-01 3.2441370163e-01 5.3919309763e-03
8.3125000000e-01 3.2258469420e-01 5.3552372064e-03
8.3437500000e-01 3.2075653414e-01 5.3185072297e-03
8.3750000000e-01 3.1892967002e-01 5.2817420246e-03
8.4062500000e-01 3.1710462124e-01 5.2449425827e-03
8.4375000000e-01 3.1528197115e-01 5.2081098753e-03
8.4687500000e-01 3.1346236345e-01 5.1712449011e-03
8.5000000000e-01 3.1164649352e-01 5.1343486487e-03
8.5312500000e-01 3.0983510164e-01 5.0974221293e-03
8.5625000000e-01 3.0802896256e-01 5.0604663223e-03
8.5937500000e-01 3.0622887967e-01 5.0234822647e-03
8.6250000000e-01 3.0443567224e-01 4.9864709656e-03
8.6562500000e-01 3.0265016632e-01 4.9494334407e-03
8.6875000000e-01 3.0087318544e-01 4.9123707226e-03
8.7187500000e-01 2.9910553977e-01 4.8752838462e-03
8.7500000000e-01 2.9734801582e-01 4.8381738450e-03
8.7812500000e-01 2.9560136794e-01 4.8010417703e-03
8.8125000000e-01 2.9386630757e-01 4.7638886622e-03
8.8437500000e-01 2.9214349604e-01 4.7267155773e-03
8.8750000000e-01 2.9043353705e-01 4.6895235879e-03
8.9062500000e-01 2.8873696879e-01 4.6523137609e-03
8.9375000000e-01 2.8705425852e-01 4.6150871665e-03
8.9687500000e-01 2.8538579928e-01 4.5778449104e-03
9.0000000000e-01 2.8373190385e-01 4.5405880608e-03
9.0312500000e-01 2.8209280551e-01 4.5033177297e-03
9.0625000000e-01 2.8046865564e-01 4.4660350297e-03
9.0937500000e-01 2.7885952374e-01 4.4287410630e-03
9.1250000000e-01 2.7726540072e-01 4.3914369594e-03
9.1562500000e-01 2.7568620097e-01 4.3541238570e-03
9.1875000000e-01 2.7412176625e-01 4.3168028915e-03
9.2187500000e-01 2.7257187165e-01 4.2794752193e-03
9.2500000000e-01 2.7103623189e-01 4.2421420162e-03
9.2812500000e-01 2.6951450733e-01 4.2048044537e-03
9.3125000000e-01 2.6800631242e-01 4.1674637121e-03
9.3437500000e-01 2.6651122393e-01 4.1301209848e-03
9.3750000000e-01 2.6502878961e-01 4.0927774830e-03
9.4062500000e-01 2.6355853708e-01 4.0554344267e-03
9.4375000000e-01 2.6209998255e-01 4.0180930408e-03
9.4687500000e-01 2.6065263967e-01 3.9807545610e-03
9.5000000000e-01 2.5921602909e-01 3.9434202657e-03
9.5312500000e-01 2.5778968467e-01 3.9060914201e-03
9.5625000000e-01 2.5637316292e-01 3.8687693293e-03
9.5937500000e-01 2.5496604717e-01 3.8314552692e-03
9.6250000000e-01 2.5356795636e-01 3.7941505681e-03
9.6562500000e-01 2.5217854864e-01 3.7568565665e-03
9.6875000000e-01 2.5079752553e-01 3.7195746176e-03
9.7187500000e-01 2.4942463479e-01 3.6823060866e-03
9.7500000000e-01 2.4805967303e-01 3.6450523679e-03
9.7812500000e-01 2.4670248645e-01 3.6078148768e-03
9.8125000000e-01 2.4535297039e-01 3.5705950509e-03
9.8437500000e-01 2.4401106893e-01 3.5333943537e-03
9.8750000000e-01 2.4267677204e-01 3.4962142568e-03
9.9062500000e-01 2.4135011364e-01 3.4590562646e-03
9.9375000000e-01 2.4003116801e-01 3.4219219087e-03
9.9687500000e-01 2.3872004499e-01 3.3848127398e-03
1.0000000000e+00 2.3741688654e-01 3.3477303515e-03
1.0031250000e+00 2.3612186064e-01 3.3106763432e-03
1.0062500000e+00 2.3483515734e-01 3.2736523634e-03
1.0093750000e+00 2.3355698344e-01 3.2366601161e-03
1.0125000000e+00 2.3228755553e-01 3.1997012842e-03
1.0156250000e+00 2.3102709793e-01 3.1627776451e-03
1.0187500000e+00 2.2977583596e-01 3.1258909843e-03
1.0218750000e+00 2.2853399187e-01 3.0890431146e-03
1.0250000000e+00 2.2730178263e-01 3.0522359236e-03
1.0281250000e+00 2.2607941495e-01 3.0154713107e-03
1.0312500000e+00 2.2486708454e-01 2.9787512598e-03
1.0343750000e+00 2.2366497320e-01 2.9420777904e-03
1.0375000000e+00 2.2247324749e-01 2.9054529536e-03
1.0406250000e+00 2.2129206001e-01 2.8688788999e-03
1.0437500000e+00 2.2012154797e-01 2.8323578178e-03
1.0468750000e+00 2.1896183493e-01 2.7958919590e-03
1.0500000000e+00 2.1781303183e-01 2.7594836350e-03
1.0531250000e+00 2.1667523980e-01 2.7231352351e-03
1.0562500000e+00 2.1554855222e-01 2.6868492312e-03
1.0593750000e+00 2.1443305732e-01 2.6506281596e-03
1.0625000000e+00 2.1332884164e-01 2.6144746589e-03
1.0656250000e+00 2.1223599301e-01 2.5783914513e-03
1.0687500000e+00 2.1115460368e-01 2.5423813555e-03
1.0718750000e+00 2.1008477343e-01 2.5064473042e-03
1.0750000000e+00 2.0902661209e-01 2.4705923214e-03
1.0781250000e+00 2.0798024269e-01 2.4348195757e-03
1.0812500000e+00 2.0694580252e-01 2.3991323354e-03
1.0843750000e+00 2.0592344507e-01 2.3635339915e-03
1.0875000000e+00 2.0491334210e-01 2.3280281241e-03
1.0906250000e+00 2.0391568255e-01 2.2926184350e-03
1.0937500000e+00 2.0293067240e-01 2.2573087773e-03
1.0968750000e+00 2.0195853487e-01 2.2221032096e-03
1.1000000000e+00 2.0099950730e-01 2.1870059487e-03
1.1031250000e+00 2.0005384026e-01 2.1520214435e-03
1.1062500000e+00 1.9912179326e-01 2.1171543292e-03
1.1093750000e+00 1.9820363221e-01 2.0824094731e-03
1.1125000000e+00 1.9729962524e-01 2.0477919960e-03
1.1156250000e+00 1.9641003830e-01 2.0133072948e-03
1.1187500000e+00 1.9553513025e-01 1.9789610348e-03
1.1218750000e+00 1.9467514825e-01 1.9447591939e-03
1.1250000000e+00 1.9383032260e-01 1.9107080857e-03
1.1281250000e+00 1.9300086173e-01 1.8768143701e-03
1.1312500000e+00 1.9218694759e-01 1.8430851017e-03
1.1343750000e+00 1.9138873071e-01 1.8095277406e-03
1.1375000000e+00 1.9060632591e-01 1.7761501783e-03
1.1406250000e+00 1.8983980925e-01 1.7429608195e-03
1.1437500000e+00 1.8908921391e-01 1.7099685590e-03
1.1468750000e+00 1.8835452819e-01 1.6771828711e-03
1.1500000000e+00 1.8763569350e-01 1.6446138252e-03
1.1531250000e+00 1.8693260348e-01 1.6122721616e-03
1.1562500000e+00 1.8624510318e-01 1.5801692941e-03
1.1593750000e+00 1.8557299050e-01 1.5483174410e-03
1.1625000000e+00 1.8491601665e-01 1.5167296079e-03
1.1656250000e+00 1.8427388881e-01 1.4854196982e-03
1.1687500000e+00 1.8364627361e-01 1.4544025899e-03
1.1718750000e+00 1.8303280014e-01 1.4236941929e-03
1.1750000000e+00 1.8243306464e-01 1.3933115258e-03
1.1781250000e+00 1.8184663584e-01 1.3632728409e-03
1.1812500000e+00 1.8127306010e-01 1.3335976656e-03
1.1843750000e+00 1.8071186742e-01 1.3043069415e-03
1.1875000000e+00 1.8016257789e-01 1.2754231052e-03
1.1906250000e+00 1.7962470748e-01 1.2469701740e-03
1.1937500000e+00 1.7909777530e-01 1.2189738889e-03
1.1968750000e+00 1.7858130969e-01 1.1914618184e-03
1.2000000000e+00 1.7807485422e-01 1.1644634387e-03
